ARTICLE TITLE,ARTICLE LINKS
A small number of samples can poison LLMs of any size (anthropic.com),https://www.anthropic.com/research/small-samples-poison
Python 3.14 is here. How fast is it? (miguelgrinberg.com),https://blog.miguelgrinberg.com/post/python-3-14-is-here-how-fast-is-it
A built-in 'off switch' to stop persistent pain (upenn.edu),https://penntoday.upenn.edu/news/select-neurons-brainstem-may-hold-key-treating-chronic-pain
Show HN: I've built a tiny hand-held keyboard (github.com/mafik),https://github.com/mafik/keyer
Hacker News Live Feed (jerbear2008.github.io),https://jerbear2008.github.io/hn-live/
My first contribution to Linux (vkoskiv.com),https://vkoskiv.com/first-linux-patch/
LLMs are mortally terrified of exceptions (twitter.com/karpathy),https://twitter.com/karpathy/status/1976077806443569355
"Figure 03, our 3rd generation humanoid robot (figure.ai)",https://www.figure.ai/news/introducing-figure-03
Subway Builder: A realistic subway simulation game (subwaybuilder.com),https://www.subwaybuilder.com/
The Burrows-Wheeler Transform (sandbox.bio),https://sandbox.bio/concepts/bwt
Show HN: GYST – Digital organizer that replicates the feeling of a physical desk (gyst.fr),https://gyst.fr/
Embracing the parallel coding agent lifestyle (simonwillison.net),https://simonwillison.net/2025/Oct/5/parallel-coding-agents/
Finding a VS Code Memory Leak (randomascii.wordpress.com),https://randomascii.wordpress.com/2025/10/09/finding-a-vs-code-memory-leak/
The government ate my name (slate.com),https://slate.com/life/2025/10/passport-name-change-united-states-mexico-spain-immigration.html
"Neutts-air – Open-source, on device TTS (github.com/neuphonic)",https://github.com/neuphonic/neutts-air
ESP32 and Termux (gavide.dev),https://blog.gavide.dev/blog/esp32-and-termux
Show HN: I wrote a full text search engine in Go (github.com/wizenheimer),https://github.com/wizenheimer/blaze
Show HN: Open-Source Voice AI Badge Powered by ESP32+WebRTC (github.com/vapiai),https://github.com/VapiAI/vapicon-2025-hardware-workshop
2025 MacArthur Fellows (macfound.org),https://www.macfound.org/programs/awards/fellows/
A 16.67 Millisecond Frame (koolcodez.com),https://koolcodez.com/blog/inside-the-frame/
Show HN: I built a web framework in C (github.com/ashtonjamesd),https://github.com/ashtonjamesd/lavandula
Rubygems.org AWS Root Access Event – September 2025 (rubycentral.org),https://rubycentral.org/news/rubygems-org-aws-root-access-event-september-2025/
Show HN: Turn your OpenAPI spec into negative tests (github.com/dochia-dev),https://github.com/dochia-dev/dochia-cli
Launch HN: Extend (YC W23) – Turn your messiest documents into data (extend.ai),https://www.extend.ai/
The fight between doctors and insurance companies over 'downcoding' (nbcnews.com),https://www.nbcnews.com/health/health-care/guilty-proven-innocent-fight-doctors-insurance-companies-downcoding-rcna230714
"New nanotherapy clears amyloid-β, reversing symptoms of Alzheimer's in mice (drugtargetreview.com)",https://www.drugtargetreview.com/news/189235/new-nanotherapy-clears-amyloid-%CE%B2-reversing-alzheimers-in-mice/
"Goiaba: An experimental Go compiler, written in Rust (github.com/raphamorim)",https://github.com/raphamorim/goiaba
A case for learning GPU programming with a compute-first mindset (themaister.net),https://themaister.net/blog/2025/10/05/a-case-for-learning-gpu-programming-with-a-compute-first-mindset/
Python's splitlines does more than just newlines (yossarian.net),https://yossarian.net/til/post/python-s-splitlines-does-a-lot-more-than-just-newlines/
Using a laptop as an HDMI monitor for an SBC (danielmangum.com),https://danielmangum.com/posts/laptop-hdmi-monitor-sbc/
